time	V(vout1)
2.877263107190662e-003	-5.299205e-003
2.887503107190602e-003	-4.746945e-003
2.897743107190541e-003	-4.174910e-003
2.907983107190480e-003	-3.585462e-003
2.918223107190419e-003	-2.981034e-003
2.928463107190358e-003	-2.364122e-003
2.938703107190297e-003	-1.737273e-003
2.948943107190237e-003	-1.103077e-003
2.959183107190176e-003	-4.641511e-004
2.969423107190115e-003	1.768646e-004
2.979663107190054e-003	8.173229e-004
2.989903107189993e-003	1.454579e-003
3.000143107189933e-003	2.086000e-003
3.010383107189872e-003	2.708978e-003
3.020623107189811e-003	3.320941e-003
3.030863107189750e-003	3.919359e-003
3.041103107189689e-003	4.501763e-003
3.051343107189629e-003	5.065747e-003
3.061583107189568e-003	5.608980e-003
3.071823107189507e-003	6.129219e-003
3.082063107189446e-003	6.624317e-003
3.092303107189385e-003	7.092228e-003
3.102543107189324e-003	7.531021e-003
3.112783107189264e-003	7.938883e-003
3.123023107189203e-003	8.314132e-003
3.133263107189142e-003	8.655217e-003
3.143503107189081e-003	8.960734e-003
3.153743107189020e-003	9.229419e-003
3.163983107188960e-003	9.460166e-003
3.174223107188899e-003	9.652023e-003
3.184463107188838e-003	9.804200e-003
3.194703107188777e-003	9.916072e-003
3.204943107188716e-003	9.987177e-003
3.215183107188656e-003	1.001723e-002
3.225423107188595e-003	1.000610e-002
3.235663107188534e-003	9.953845e-003
3.245903107188473e-003	9.860682e-003
3.256143107188412e-003	9.727000e-003
3.266383107188351e-003	9.553355e-003
3.276623107188291e-003	9.340469e-003
3.286863107188230e-003	9.089225e-003
3.297103107188169e-003	8.800668e-003
3.307343107188108e-003	8.475992e-003
3.317583107188047e-003	8.116546e-003
3.327823107187987e-003	7.723819e-003
3.338063107187926e-003	7.299440e-003
3.348303107187865e-003	6.845167e-003
3.358543107187804e-003	6.362882e-003
3.368783107187743e-003	5.854585e-003
3.379023107187682e-003	5.322381e-003
3.389263107187622e-003	4.768475e-003
3.399503107187561e-003	4.195162e-003
3.409743107187500e-003	3.604815e-003
3.419983107187439e-003	2.999882e-003
3.430223107187378e-003	2.382867e-003
3.440463107187318e-003	1.756326e-003
3.450703107187257e-003	1.122854e-003
3.460943107187196e-003	4.850741e-004
3.471183107187135e-003	-1.543719e-004
3.481423107187074e-003	-7.928360e-004
3.491663107187014e-003	-1.427674e-003
3.501903107186953e-003	-2.056257e-003
3.512143107186892e-003	-2.675982e-003
3.522383107186831e-003	-3.284283e-003
3.532623107186770e-003	-3.878640e-003
3.542863107186709e-003	-4.456592e-003
3.553103107186649e-003	-5.015746e-003
3.563343107186588e-003	-5.553786e-003
3.573583107186527e-003	-6.068484e-003
3.583823107186466e-003	-6.557710e-003
3.594063107186405e-003	-7.019436e-003
3.604303107186345e-003	-7.451750e-003
3.614543107186284e-003	-7.852862e-003
3.624783107186223e-003	-8.221111e-003
3.635023107186162e-003	-8.554972e-003
3.645263107186101e-003	-8.853061e-003
3.655503107186041e-003	-9.114144e-003
3.665743107185980e-003	-9.337140e-003
3.675983107185919e-003	-9.521124e-003
3.686223107185858e-003	-9.665333e-003
3.696463107185797e-003	-9.769171e-003
3.706703107185736e-003	-9.832205e-003
3.716943107185676e-003	-9.854174e-003
3.727183107185615e-003	-9.834988e-003
3.737423107185554e-003	-9.774722e-003
3.747663107185493e-003	-9.673628e-003
3.757903107185432e-003	-9.532121e-003
3.768143107185372e-003	-9.350786e-003
3.778383107185311e-003	-9.130374e-003
3.788623107185250e-003	-8.871795e-003
3.798863107185189e-003	-8.576118e-003
3.809103107185128e-003	-8.244568e-003
3.819343107185068e-003	-7.878514e-003
3.829583107185007e-003	-7.479472e-003
3.839823107184946e-003	-7.049091e-003
3.850063107184885e-003	-6.589153e-003
3.860303107184824e-003	-6.101560e-003
3.870543107184763e-003	-5.588329e-003
3.880783107184703e-003	-5.051584e-003
3.891023107184642e-003	-4.493546e-003
3.901263107184581e-003	-3.916522e-003
3.911503107184520e-003	-3.322902e-003
3.921743107184459e-003	-2.715140e-003
3.931983107184399e-003	-2.095753e-003
3.942223107184338e-003	-1.467301e-003
3.952463107184277e-003	-8.323872e-004
3.962703107184216e-003	-1.936370e-004
3.972943107184155e-003	4.463059e-004
3.983183107184094e-003	1.084794e-003
3.993423107184034e-003	1.719184e-003
4.003663107183973e-003	2.346852e-003
4.013903107183912e-003	2.965200e-003
4.024143107183851e-003	3.571670e-003
4.034383107183790e-003	4.163751e-003
4.044623107183730e-003	4.738995e-003
4.054863107183669e-003	5.295019e-003
4.065103107183608e-003	5.829524e-003
