v3	Ic(Q2)
4.269999999999953e+000	5.590660e-003
4.279999999999953e+000	5.591189e-003
4.289999999999953e+000	5.591718e-003
4.299999999999953e+000	5.592247e-003
4.309999999999953e+000	5.592775e-003
4.319999999999952e+000	5.593304e-003
4.329999999999952e+000	5.593833e-003
4.339999999999952e+000	5.594361e-003
4.349999999999952e+000	5.594890e-003
4.359999999999952e+000	5.595418e-003
4.369999999999951e+000	5.595947e-003
4.379999999999951e+000	5.596476e-003
4.389999999999951e+000	5.597004e-003
4.399999999999951e+000	5.597533e-003
4.409999999999950e+000	5.598062e-003
4.419999999999950e+000	5.598590e-003
4.429999999999950e+000	5.599119e-003
4.439999999999950e+000	5.599648e-003
4.449999999999950e+000	5.600176e-003
4.459999999999949e+000	5.600705e-003
4.469999999999949e+000	5.601233e-003
4.479999999999949e+000	5.601762e-003
4.489999999999949e+000	5.602291e-003
4.499999999999949e+000	5.602819e-003
4.509999999999948e+000	5.603348e-003
4.519999999999948e+000	5.603876e-003
4.529999999999948e+000	5.604405e-003
4.539999999999948e+000	5.604934e-003
4.549999999999947e+000	5.605462e-003
4.559999999999947e+000	5.605991e-003
4.569999999999947e+000	5.606520e-003
4.579999999999947e+000	5.607049e-003
4.589999999999947e+000	5.607577e-003
4.599999999999946e+000	5.608106e-003
4.609999999999946e+000	5.608634e-003
4.619999999999946e+000	5.609163e-003
4.629999999999946e+000	5.609691e-003
4.639999999999946e+000	5.610220e-003
4.649999999999945e+000	5.610749e-003
4.659999999999945e+000	5.611277e-003
4.669999999999945e+000	5.611806e-003
4.679999999999945e+000	5.612334e-003
4.689999999999944e+000	5.612863e-003
4.699999999999944e+000	5.613391e-003
4.709999999999944e+000	5.613920e-003
4.719999999999944e+000	5.614449e-003
4.729999999999944e+000	5.614977e-003
4.739999999999943e+000	5.615506e-003
4.749999999999943e+000	5.616034e-003
4.759999999999943e+000	5.616563e-003
4.769999999999943e+000	5.617091e-003
4.779999999999943e+000	5.617620e-003
4.789999999999942e+000	5.618148e-003
4.799999999999942e+000	5.618677e-003
4.809999999999942e+000	5.619206e-003
4.819999999999942e+000	5.619735e-003
4.829999999999942e+000	5.620263e-003
4.839999999999941e+000	5.620792e-003
4.849999999999941e+000	5.621320e-003
4.859999999999941e+000	5.621849e-003
4.869999999999941e+000	5.622377e-003
4.879999999999940e+000	5.622906e-003
4.889999999999940e+000	5.623434e-003
4.899999999999940e+000	5.623963e-003
4.909999999999940e+000	5.624491e-003
4.919999999999940e+000	5.625020e-003
4.929999999999939e+000	5.625548e-003
4.939999999999939e+000	5.626077e-003
4.949999999999939e+000	5.626605e-003
4.959999999999939e+000	5.627134e-003
4.969999999999939e+000	5.627662e-003
4.979999999999938e+000	5.628191e-003
4.989999999999938e+000	5.628719e-003
5.000000000000000e+000	5.629248e-003
